,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaitape,21,PF,1571800083,68,-16.52,-151.75,80.69,5.12
1,Cape Town,20,ZA,1571800066,71,-33.93,18.42,57.0,5.82
2,Nambucca Heads,2,AU,1571800086,56,-30.64,152.99,82.0,20.8
3,Katsuura,75,JP,1571800087,64,33.93,134.5,75.0,9.17
4,Kapaa,90,US,1571800089,62,22.08,-159.32,84.2,5.82
5,Chokurdakh,100,RU,1571800090,94,70.62,147.9,10.49,7.11
6,Morgan City,1,US,1571800091,76,29.7,-91.21,60.8,4.74
7,Pevek,100,RU,1571800093,91,69.7,170.27,16.21,9.95
8,Bira,0,RU,1571800094,35,49.0,132.47,47.44,2.48
9,Cherskiy,88,RU,1571800095,84,68.75,161.3,6.51,9.17
10,Leningradskiy,75,RU,1571800097,75,69.38,178.42,19.89,8.03
11,Souillac,100,FR,1571800098,93,45.6,-0.6,57.0,8.05
12,Castro,0,CL,1571800099,81,-42.48,-73.76,44.6,11.41
13,Vaini,75,IN,1571800101,94,15.34,74.49,71.6,4.7
14,Vestmannaeyjar,45,IS,1571800103,58,63.44,-20.27,34.5,25.26
15,Barrow,90,AR,1571800105,94,-38.31,-60.23,47.44,12.82
16,Ushuaia,40,AR,1571800106,43,-54.81,-68.31,51.8,10.29
17,Panzhihua,20,CN,1571800107,61,26.59,101.72,71.01,1.74
18,Provideniya,96,RU,1571800109,69,64.42,-173.23,33.8,6.71
19,Murgab,1,TM,1571800110,61,37.5,61.97,50.0,2.24
20,Pandan,4,PH,1571800112,70,11.72,122.09,84.34,2.39
21,Camacha,40,PT,1571800113,59,33.08,-16.33,64.4,8.05
22,Alta Floresta,67,BR,1571800114,83,-9.87,-56.08,73.69,2.91
23,Mahebourg,20,MU,1571800116,94,-20.41,57.7,75.0,5.82
24,Lebu,31,ET,1571800117,81,8.96,38.73,46.85,2.35
25,Cockburn Town,0,TC,1571800119,76,21.46,-71.14,83.01,11.12
26,Port Alfred,100,ZA,1571800120,85,-33.59,26.89,53.01,3.0
27,Saint-Philippe,90,CA,1571800121,81,45.36,-73.48,55.99,11.41
28,Usinsk,100,RU,1571799947,95,66.0,57.56,24.22,20.13
29,Tuatapere,77,NZ,1571800124,68,-46.13,167.69,52.0,14.0
30,Dikson,100,RU,1571800125,93,73.51,80.55,20.17,21.12
31,Hobart,37,AU,1571800127,39,-42.88,147.33,72.0,17.22
32,Abaza,85,RU,1571800128,63,52.65,90.1,27.68,3.04
33,High Level,90,CA,1571800097,89,58.52,-117.13,35.6,4.7
34,Puerto Ayora,72,EC,1571800130,87,-0.74,-90.35,70.0,5.01
35,Kerman,0,IR,1571800132,39,30.29,57.06,44.6,6.93
36,Torbay,90,CA,1571800001,100,47.66,-52.73,44.01,13.87
37,Atuona,0,PF,1571800134,74,-9.8,-139.03,79.29,13.22
38,Sandpoint,1,US,1571800136,70,48.28,-116.55,48.99,2.64
39,Saskylakh,8,RU,1571800137,88,71.97,114.09,7.12,7.18
40,Smithers,75,CA,1571800138,70,54.78,-127.17,42.8,11.41
41,Saldanha,100,PT,1571800139,84,41.42,-6.55,47.84,6.96
42,Havre-Saint-Pierre,75,CA,1571800135,79,50.23,-63.6,33.8,8.05
43,Severo-Kurilsk,0,RU,1571800142,45,50.68,156.12,47.37,4.63
44,Hasaki,20,JP,1571800144,64,35.73,140.83,77.0,8.05
45,Tiksi,0,RU,1571800145,89,71.64,128.87,2.89,8.68
46,Mataura,84,NZ,1571800146,68,-46.19,168.86,52.0,14.0
47,Nouakchott,28,MR,1571800147,64,18.08,-15.98,73.4,17.22
48,Hithadhoo,100,MV,1571800149,77,-0.6,73.08,81.3,13.62
49,Pisco,61,PE,1571800150,82,-13.71,-76.2,62.6,10.29
50,Busselton,68,AU,1571800151,57,-33.64,115.35,68.0,10.87
51,Cassilandia,78,BR,1571800153,82,-19.11,-51.73,70.43,1.66
52,Rikitea,100,PF,1571800154,89,-23.12,-134.97,67.55,23.02
53,Hermanus,0,ZA,1571800155,76,-34.42,19.24,55.99,1.01
54,Bereda,93,ES,1571800157,100,43.27,-7.54,59.0,1.12
55,Albany,90,US,1571800158,87,42.65,-73.75,55.99,4.7
56,Nikolskoye,90,RU,1571800159,76,59.7,30.79,52.0,8.95
57,Marrakesh,20,MA,1571800161,81,31.63,-7.99,51.8,2.24
58,Puerto Baquerizo Moreno,100,EC,1571800162,84,-0.9,-89.6,69.15,11.68
59,Aasiaat,0,GL,1571800163,55,68.71,-52.87,15.26,5.06
60,Koumac,99,NC,1571800165,65,-20.56,164.28,74.41,3.18
61,Dunedin,81,NZ,1571800166,45,-45.87,170.5,55.0,13.0
62,Flinders,0,AU,1571800167,47,-34.58,150.85,86.0,13.87
63,Cidreira,9,BR,1571800168,71,-30.17,-50.22,64.13,4.56
64,La Asuncion,12,AR,1571800170,60,-26.05,-65.39,55.17,3.33
65,Vardo,90,US,1571800171,100,39.62,-77.74,55.99,4.05
66,Isangel,75,VU,1571800172,69,-19.55,169.27,80.6,13.87
67,Hilo,90,US,1571800174,62,19.71,-155.08,84.2,10.29
68,Izazi,20,TZ,1571800175,67,-7.24,35.72,62.6,4.03
69,Mar del Plata,0,AR,1571800177,58,-46.43,-67.52,48.58,2.86
