,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hithadhoo,100,MV,1571710518,77,-0.6,73.08,80.89,11.88
1,Port Elizabeth,90,US,1571710179,87,39.31,-74.98,61.0,5.82
2,Znamenskoye,99,RU,1571710521,89,57.13,73.82,29.53,8.72
3,Kavaratti,100,IN,1571710285,82,10.57,72.64,81.64,20.54
4,Kalavad,93,IN,1571710523,70,22.21,70.38,82.0,11.3
5,Butaritari,5,KI,1571710105,73,3.07,172.79,84.94,11.7
6,Estelle,100,FR,1571710481,93,43.97,3.47,60.8,4.7
7,Cape Town,0,ZA,1571710114,26,-33.93,18.42,55.99,1.99
8,Westport,1,US,1571710528,87,41.14,-73.36,57.2,4.7
9,San Patricio,0,PY,1571710321,97,-26.98,-56.83,55.44,3.36
10,Oktyabrskiy,75,RU,1571710531,87,55.61,37.97,46.4,2.24
11,Busselton,6,AU,1571710027,41,-33.64,115.35,75.99,7.78
12,Hainichen,0,DE,1571710533,93,50.97,13.12,53.01,2.24
13,Rikitea,100,PF,1571710535,82,-23.12,-134.97,70.66,22.57
14,Kaitangata,100,NZ,1571710037,71,-46.28,169.85,46.0,5.01
15,Mar del Plata,0,AR,1571710031,67,-46.43,-67.52,47.61,5.17
16,Vaini,75,IN,1571710078,100,15.34,74.49,69.8,2.55
17,Constitucion,40,MX,1571710015,42,23.99,-104.67,68.0,8.05
18,Vestmannaeyjar,0,IS,1571710541,64,63.44,-20.27,37.45,25.99
19,East London,36,ZA,1571710207,67,-33.02,27.91,56.52,9.6
20,Jamestown,100,AU,1571710082,17,-33.21,138.6,80.31,6.17
21,Fortuna,1,US,1571710253,87,40.6,-124.16,57.99,8.05
22,New Norfolk,20,AU,1571710161,42,-42.78,147.06,69.01,4.7
23,Mataura,100,NZ,1571710041,93,-46.19,168.86,44.01,4.0
24,Pevek,100,RU,1571710029,89,69.7,170.27,25.12,7.54
25,West Richland,90,US,1571710550,63,46.3,-119.35,60.8,12.75
26,Nuevitas,30,CU,1571710552,94,21.55,-77.27,78.8,8.05
27,Ushuaia,40,AR,1571710008,43,-54.81,-68.31,50.0,16.11
28,Manavalakurichi,75,IN,1571710554,88,8.13,77.3,78.8,4.7
29,Cayenne,96,GF,1571710500,94,4.94,-52.33,75.2,4.81
30,Luganville,75,VU,1571710557,74,-15.51,167.18,84.2,9.17
31,Longyearbyen,75,NO,1571710132,78,78.22,15.63,12.2,11.41
32,Barrow,0,AR,1571710023,78,-38.31,-60.23,43.97,8.77
33,Nha Trang,20,VN,1571710561,74,12.24,109.19,86.0,5.82
34,Albany,20,US,1571710048,87,42.65,-73.75,48.99,5.08
35,Paamiut,0,GL,1571710564,62,61.99,-49.67,37.08,4.83
36,El Paujil,100,CO,1571710565,89,1.57,-75.33,71.64,2.1
37,Tazovskiy,39,RU,1571710567,90,67.47,78.7,15.8,11.27
38,Vila Franca do Campo,20,PT,1571710001,82,37.72,-25.43,59.0,4.7
39,Mugur-Aksy,0,RU,1571710569,66,50.38,90.44,8.69,4.74
40,Nikolskoye,90,RU,1571710136,93,59.7,30.79,43.0,4.47
41,Souillac,2,FR,1571710572,100,45.6,-0.6,48.0,3.36
42,Bonavista,62,CA,1571710573,88,48.65,-53.11,43.0,14.61
43,Rockland,75,CA,1571710575,76,45.55,-75.29,53.01,10.29
44,Sinait,20,PH,1571710576,62,17.87,120.46,87.8,5.82
45,Shache,97,CN,1571710577,85,38.42,77.24,59.0,15.32
46,Jutai,1,BR,1571710579,97,-1.71,-47.89,73.51,2.48
47,Vilcun,0,CL,1571710580,87,-38.65,-72.23,44.6,6.93
48,Punta Arenas,100,CL,1571710074,61,-53.16,-70.91,48.2,19.46
49,Dikson,100,RU,1571710326,93,73.51,80.55,28.11,17.94
50,Necochea,0,AR,1571710585,94,-38.55,-58.74,48.0,1.99
51,Kloulklubed,40,PW,1571710586,66,7.04,134.26,87.8,8.05
52,Kalmunai,100,LK,1571710588,87,7.42,81.82,78.33,9.98
53,Itacoatiara,65,BR,1571710589,77,-3.14,-58.44,77.23,0.89
54,Luwingu,51,ZM,1571710590,68,-10.26,29.92,69.82,1.92
55,Namibe,63,AO,1571710083,85,-15.19,12.15,68.43,6.91
56,Pidvynohradiv,44,UA,1571710593,87,48.14,22.97,54.0,2.89
57,Kruisfontein,6,ZA,1571710594,87,-34.0,24.73,43.95,2.59
58,Oranjemund,3,ZA,1571710596,82,-28.55,16.43,51.37,3.51
59,Tiksi,35,RU,1571710049,84,71.64,128.87,5.95,7.76
60,Coquimbo,100,CL,1571710151,87,-29.95,-71.34,55.4,8.05
61,Palmer,3,AU,1571710600,49,-34.85,139.16,86.0,8.05
62,Cherskiy,3,RU,1571710196,89,68.75,161.3,3.78,6.69
